Listing_ID,Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Year_Built,Finish,View,Payment_Method,Seller_Type,Amenities,Description,Link
EG-6889697,Duplex,https://aqarmap.com.eg/en/listing/6889697 projects il cuore verde,"8,496,000 EGP","177,000 EGP/M²",N/A,N/A,N/A,7,N/A,N/A,Main Street,Cash or Installments,N/A,"Elevator, Security",N/A,https://aqarmap.com.eg/en/listing/6889697-projects-il-cuore-verde/
EG-6889720,Duplex,https://aqarmap.com.eg/en/listing/6889720 projects ladera ras sudr,"6,000,000 EGP","50,000 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889720-projects-ladera-ras-sudr/
EG-6889683,Duplex,https://aqarmap.com.eg/en/listing/6889683 projects annex26,"13,492,332 EGP","221,186 EGP/M²",N/A,N/A,N/A,1,N/A,N/A,Main Street,Cash or Installments,N/A,"Elevator, Security, Parking",N/A,https://aqarmap.com.eg/en/listing/6889683-projects-annex26/
EG-6889723,Duplex,https://aqarmap.com.eg/en/listing/6889723 projects ladera ras sudr,"13,400,000 EGP","72,432 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889723-projects-ladera-ras-sudr/
EG-6889724,Duplex,https://aqarmap.com.eg/en/listing/6889724 projects ladera ras sudr,"16,000,000 EGP","86,486 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889724-projects-ladera-ras-sudr/
EG-6889718,Duplex,https://aqarmap.com.eg/en/listing/6889718 projects ladera ras sudr,"5,300,000 EGP","50,476 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889718-projects-ladera-ras-sudr/
EG-6889719,Duplex,https://aqarmap.com.eg/en/listing/6889719 projects ladera ras sudr,"5,570,000 EGP","46,417 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889719-projects-ladera-ras-sudr/
EG-6889721,Duplex,https://aqarmap.com.eg/en/listing/6889721 projects ladera ras sudr,"8,000,000 EGP","48,485 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889721-projects-ladera-ras-sudr/
EG-6889715,Duplex,https://aqarmap.com.eg/en/listing/6889715 projects ladera ras sudr,"2,620,000 EGP","32,750 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889715-projects-ladera-ras-sudr/
EG-6889722,Duplex,https://aqarmap.com.eg/en/listing/6889722 projects ladera ras sudr,"11,300,000 EGP","68,485 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889722-projects-ladera-ras-sudr/
EG-6889710,Duplex,https://aqarmap.com.eg/en/listing/6889710 projects ladera ras sudr,"1,660,000 EGP","33,200 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889710-projects-ladera-ras-sudr/
EG-6889704,Duplex,https://aqarmap.com.eg/en/listing/6889704 projects ladera ras sudr,"1,365,000 EGP","39,000 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889704-projects-ladera-ras-sudr/
EG-6889711,Duplex,https://aqarmap.com.eg/en/listing/6889711 projects ladera ras sudr,"3,720,000 EGP","57,231 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889711-projects-ladera-ras-sudr/
EG-6889706,Duplex,https://aqarmap.com.eg/en/listing/6889706 projects ladera ras sudr,"2,755,000 EGP","57,396 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889706-projects-ladera-ras-sudr/
EG-6889688,Duplex,https://aqarmap.com.eg/en/listing/6889688 projects annex26,"8,073,000 EGP","134,550 EGP/M²",N/A,N/A,N/A,2,N/A,N/A,Main Street,Cash or Installments,N/A,"Elevator, Security, Parking",N/A,https://aqarmap.com.eg/en/listing/6889688-projects-annex26/
EG-6889673,Penthouse,https://aqarmap.com.eg/en/listing/6889673 projects zizinia mostakbal,"10,700,000 EGP","31,471 EGP/M²",N/A,N/A,N/A,Ground,N/A,N/A,Garden,Cash or Installments,N/A,"Elevator, Garden",N/A,https://aqarmap.com.eg/en/listing/6889673-projects-zizinia-mostakbal/
EG-6878024,Unknown,cairo mokattam lhdb l ly shareaa 9,"23,040,000 EGP","180,000 EGP/M²",128 m²,N/A,N/A,Ground,2026,N/A,Main Street,Cash,Developer,N/A,N/A,https://aqarmap.com.eg/en/listing/6878024-for-sale-cairo-mokattam-lhdb-l-ly-shareaa-9/
EG-6765234,Apartment,cairo 6th of october hadaeq october tryq hmd zwyl,"1,150,000 EGP","17,692 EGP/M²",65 m²,2 rooms,1 bathroom,3,2017,N/A,Back,Cash,Developer,N/A,N/A,https://aqarmap.com.eg/en/listing/6765234-for-sale-cairo-6th-of-october-hadaeq-october-tryq-hmd-zwyl/
EG-6869362,Studio,cairo 6th of october el ahyaa neighborhood 3rd street 29,"650,000 EGP","26,000 EGP/M²",25 m²,1 rooms,1 bathroom,1,2025,N/A,Main Street,Cash,Developer,Water Meter,N/A,https://aqarmap.com.eg/en/listing/6869362-for-sale-cairo-6th-of-october-el-ahyaa-neighborhood-3rd-street-29/
